ISIN,US105756CD06,,
Coupon,2.875,,
Maturity,5 Years,,
Start,2020,End,2025
,,,
time,date,close,
1671436800,19/12/2022,94.804001,
1671523200,20/12/2022,94.554001,
1671609600,21/12/2022,94.628998,
1671696000,22/12/2022,94.718002,
1671782400,23/12/2022,94.657997,
1672128000,27/12/2022,94.639999,
1672214400,28/12/2022,94.574997,
1672300800,29/12/2022,94.490997,
1672387200,30/12/2022,94.514,
1672646400,02/01/2023,94.501999,
1672732800,03/01/2023,94.713997,
1672819200,04/01/2023,94.843002,
1672905600,05/01/2023,94.886002,
1672992000,06/01/2023,94.802002,
1673337600,10/01/2023,95.251999,
1673424000,11/01/2023,95.172997,
1673510400,12/01/2023,95.313004,
1673596800,13/01/2023,95.497002,
1673856000,16/01/2023,95.476997,
1673942400,17/01/2023,95.417999,
1674028800,18/01/2023,95.563004,
1674115200,19/01/2023,95.696999,
1674201600,20/01/2023,95.570999,
1674460800,23/01/2023,95.505997,
1674547200,24/01/2023,95.43,
1674633600,25/01/2023,95.477997,
1674720000,26/01/2023,95.434998,
1674806400,27/01/2023,95.371002,
1675065600,30/01/2023,95.309998,
1675152000,31/01/2023,95.264999,
1675238400,01/02/2023,95.374001,
1675324800,02/02/2023,95.714996,
1675411200,03/02/2023,95.747002,
1675670400,06/02/2023,95.349998,
1675756800,07/02/2023,95.200996,
1675843200,08/02/2023,95.154999,
1675929600,09/02/2023,95.124001,
1676016000,10/02/2023,94.805,
1676275200,13/02/2023,94.758003,
1676361600,14/02/2023,94.779999,
1676448000,15/02/2023,94.639,
1676534400,16/02/2023,94.577003,
1676620800,17/02/2023,94.370003,
1676880000,20/02/2023,94.408997,
1676966400,21/02/2023,94.254997,
1677052800,22/02/2023,94.220001,
1677139200,23/02/2023,94.212997,
1677225600,24/02/2023,94.166,
1677484800,27/02/2023,94.161003,
1677571200,28/02/2023,94.085999,
1677657600,01/03/2023,94.125,
1677744000,02/03/2023,93.981003,
1677830400,03/03/2023,93.960999,
1678089600,06/03/2023,94.110001,
1678176000,07/03/2023,94.086998,
1678262400,08/03/2023,93.850998,
1678348800,09/03/2023,93.865997,
1678435200,10/03/2023,94.049004,
1678694400,13/03/2023,94.633003,
1678780800,14/03/2023,94.805,
1678867200,15/03/2023,94.914001,
1678953600,16/03/2023,95.244003,
1679040000,17/03/2023,95.210999,
1679299200,20/03/2023,95.233002,
1679385600,21/03/2023,95.254997,
1679472000,22/03/2023,95.245003,
1679558400,23/03/2023,95.616997,
1679644800,24/03/2023,95.865997,
1679900400,27/03/2023,95.723,
1679986800,28/03/2023,95.609001,
1680073200,29/03/2023,95.649002,
1680159600,30/03/2023,95.707001,
1680246000,31/03/2023,95.740997,
1680505200,03/04/2023,95.885002,
1680591600,04/04/2023,96.060997,
1680678000,05/04/2023,96.356003,
1680764400,06/04/2023,96.342003,
1681196400,11/04/2023,96.043999,
1681282800,12/04/2023,96.028999,
1681369200,13/04/2023,96.083,
1681455600,14/04/2023,96.100998,
1681714800,17/04/2023,96.010002,
1681801200,18/04/2023,95.888,
1681887600,19/04/2023,95.807999,
1681974000,20/04/2023,95.790001,
1682060400,21/04/2023,95.792999,
1682319600,24/04/2023,95.761002,
1682406000,25/04/2023,95.799004,
1682492400,26/04/2023,95.794998,
1682578800,27/04/2023,95.804001,
1682665200,28/04/2023,95.805,
1683010800,02/05/2023,95.778999,
1683097200,03/05/2023,95.877998,
1683183600,04/05/2023,95.986,
1683270000,05/05/2023,95.957001,
1683529200,08/05/2023,95.882004,
1683615600,09/05/2023,95.939003,
1683702000,10/05/2023,96.009003,
1683788400,11/05/2023,96.106003,
1683874800,12/05/2023,96.165001,
1684134000,15/05/2023,96.092003,
1684220400,16/05/2023,96.089996,
1684306800,17/05/2023,96.059998,
1684393200,18/05/2023,96.013,
1684479600,19/05/2023,95.939003,
1684738800,22/05/2023,95.944,
1684825200,23/05/2023,95.920998,
1684911600,24/05/2023,95.926003,
1684998000,25/05/2023,95.804001,
1685084400,26/05/2023,95.774002,
1685343600,29/05/2023,95.817001,
1685430000,30/05/2023,95.859001,
1685516400,31/05/2023,95.901001,
1685602800,01/06/2023,95.806999,
1685689200,02/06/2023,95.860001,
1685948400,05/06/2023,95.720001,
1686034800,06/06/2023,95.872002,
1686121200,07/06/2023,95.837997,
1686207600,08/06/2023,95.732002,
1686294000,09/06/2023,95.757004,
1686553200,12/06/2023,95.772003,
1686639600,13/06/2023,95.825996,
1686726000,14/06/2023,95.707001,
1686812400,15/06/2023,95.706001,
1686898800,16/06/2023,95.744003,
1687158000,19/06/2023,95.68,
1687244400,20/06/2023,95.660004,
1687330800,21/06/2023,95.699997,
1687417200,22/06/2023,95.641998,
1687503600,23/06/2023,95.603996,
1687762800,26/06/2023,95.643997,
1687849200,27/06/2023,95.612,
1687935600,28/06/2023,95.559998,
1688022000,29/06/2023,95.566002,
1688108400,30/06/2023,95.303001,
1688367600,03/07/2023,95.282997,
1688454000,04/07/2023,95.331001,
